
ai21-labs/ai21-jamba-1.5-large	AI21 Jamba 1.5 Large
cohere/cohere-command-a	Cohere Command A
cohere/cohere-command-r-08-2024	Cohere Command R 08-2024
cohere/cohere-command-r-plus-08-2024	Cohere Command R+ 08-2024
deepseek/deepseek-r1	DeepSeek-R1
deepseek/deepseek-r1-0528	DeepSeek-R1-0528
deepseek/deepseek-v3-0324	DeepSeek-V3-0324
meta/llama-3.2-11b-vision-instruct	Llama-3.2-11B-Vision-Instruct
meta/llama-3.2-90b-vision-instruct	Llama-3.2-90B-Vision-Instruct
meta/llama-3.3-70b-instruct	Llama-3.3-70B-Instruct
meta/llama-4-maverick-17b-128e-instruct-fp8	Llama 4 Maverick 17B 128E Instruct FP8
meta/llama-4-scout-17b-16e-instruct	Llama 4 Scout 17B 16E Instruct
meta/meta-llama-3.1-405b-instruct	Meta-Llama-3.1-405B-Instruct
meta/meta-llama-3.1-8b-instruct	Meta-Llama-3.1-8B-Instruct
microsoft/mai-ds-r1	MAI-DS-R1
microsoft/phi-4	Phi-4
microsoft/phi-4-mini-instruct	Phi-4-mini-instruct
microsoft/phi-4-mini-reasoning	Phi-4-mini-reasoning
microsoft/phi-4-multimodal-instruct	Phi-4-multimodal-instruct
microsoft/phi-4-reasoning	Phi-4-reasoning
mistral-ai/codestral-2501	Codestral 25.01
mistral-ai/ministral-3b	Ministral 3B
mistral-ai/mistral-medium-2505	Mistral Medium 3 (25.05)
mistral-ai/mistral-small-2503	Mistral Small 3.1
openai/gpt-4.1	OpenAI GPT-4.1
openai/gpt-4.1-mini	OpenAI GPT-4.1-mini
openai/gpt-4.1-nano	OpenAI GPT-4.1-nano
openai/gpt-4o	OpenAI GPT-4o
openai/gpt-4o-mini	OpenAI GPT-4o mini
openai/gpt-5	OpenAI gpt-5
openai/gpt-5-chat	OpenAI gpt-5-chat (preview)
openai/gpt-5-mini	OpenAI gpt-5-mini
openai/gpt-5-nano	OpenAI gpt-5-nano
openai/o1	OpenAI o1
openai/o1-mini	OpenAI o1-mini
openai/o1-preview	OpenAI o1-preview
openai/o3	OpenAI o3
openai/o3-mini	OpenAI o3-mini
openai/o4-mini	OpenAI o4-mini
xai/grok-3	Grok 3
xai/grok-3-mini	Grok 3 Mini
