file_path,filename,overall_score,structure_score,metadata_score,performance_score,security_score,error_count,warning_count
prompts/governance\security-incident-response.md,security-incident-response.md,59.5,90.0,56.0,50.0,30.0,2,10
prompts/m365\m365-handover-document-creator.md,m365-handover-document-creator.md,64.5,80.0,56.0,65.0,60.0,2,7
prompts/advanced\prompt-library-refactor-react.md,prompt-library-refactor-react.md,65.0,80.0,56.0,50.0,80.0,2,8
prompts/advanced\chain-of-thought-debugging.md,chain-of-thought-debugging.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/advanced\library.md,library.md,67.5,80.0,56.0,65.0,80.0,2,7
prompts/advanced\rag-document-retrieval.md,rag-document-retrieval.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/advanced\react-tool-augmented.md,react-tool-augmented.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/advanced\tree-of-thoughts-architecture-evaluator.md,tree-of-thoughts-architecture-evaluator.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/business\agile-sprint-planner.md,agile-sprint-planner.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/business\change-management-coordinator.md,change-management-coordinator.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/business\stakeholder-communication-manager.md,stakeholder-communication-manager.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/creative\ad-copy-generator.md,ad-copy-generator.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/creative\brand-voice-developer.md,brand-voice-developer.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/developers\cloud-migration-specialist.md,cloud-migration-specialist.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/developers\code-review-assistant.md,code-review-assistant.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/m365\m365-daily-standup-assistant.md,m365-daily-standup-assistant.md,67.5,90.0,56.0,50.0,70.0,2,6
prompts/system\example-research-output.md,example-research-output.md,68.0,80.0,56.0,65.0,80.0,2,7
prompts/advanced\chain-of-thought-guide.md,chain-of-thought-guide.md,68.25,85.0,56.0,50.0,80.0,2,6
