NAME                        ID              SIZE      MODIFIED    
gpt-oss:20b                 17052f91a42e    13 GB     8 days ago     
qwen3:8b                    500a1f067a9f    5.2 GB    8 days ago     
gemma3:4b                   a2af6cc3eb7f    3.3 GB    8 days ago     
gemma3:1b                   8648f39daa8f    815 MB    8 days ago     
deepseek-r1:8b              6995872bfe4c    5.2 GB    8 days ago     
qwen3-coder:30b             06c1097efce0    18 GB     9 days ago     
deepseek-v3.1:671b-cloud    d3749919e45f    -         9 days ago     
gpt-oss:20b-cloud           875e8e3a629a    -         12 days ago    
qwen3-vl:235b-cloud         86b3322ec200    -         12 days ago    
glm-4.6:cloud               05277b76269f    -         12 days ago    
minimax-m2:cloud            698ab6d56142    -         12 days ago    
qwen3-coder:480b-cloud      e30e45586389    -         12 days ago    
gpt-oss:120b-cloud          569662207105    -         12 days ago    
qwen2.5-coder:14b           9ec8897f747e    9.0 GB    3 weeks ago    
phi4-reasoning:latest       47e2630ccbcd    11 GB     3 weeks ago    
deepseek-r1:14b             c333b7232bdb    9.0 GB    3 weeks ago    
deepseek-v3.2:cloud         55f7c48fb187    -         3 weeks ago    
